mun_poly_fid,mun_poly_bdr_line_distm,mun_poly_bdr_line_rankn,mun_poly_bdr_line_fromx,mun_poly_bdr_line_fromy,mun_poly_bdr_line_nearx,mun_poly_bdr_line_neary,mun_poly_bdr_line_angle,mun_poly_codi,mun_poly_nome,mun_poly_lenm,mun_poly_arm2,mun_poly_cenx,mun_poly_ceny,mun_seat_codi,mun_seat_fid,mun_seat_nome,mun_seat_cap_poly_name,mun_seat_cap_poly_code,mun_seat_cap_poly_abbr,mun_seat_cap_poly_dnam,mun_seat_cap_poly_limt,mun_seat_cap_poly_type,mun_seat_pntx,mun_seat_pnty,mun_seat_cap_poly_fid,mun_seat_cap_poly_lenm,mun_seat_cap_poly_arm2,mun_seat_cap_poly_cenx,mun_seat_cap_poly_ceny,mun_seat_cap_don_death_year,mun_seat_cap_don_death_type,mun_seat_cap_don_letter_date,mun_seat_cap_foral_date,mun_seat_cap_otherdocs_date,mun_seat_cap_grant_date,mun_seat_cap_trnsfr_year,mun_seat_cap_crown_year,mun_seat_cap_settle_year,mun_seat_cap_pop1536_prtgs,mun_seat_cap_pop1546_prtgs,mun_seat_cap_pop1546_afrcns,mun_seat_cap_povs_1530_1549,mun_seat_cap_vilas_1530_1549,mun_seat_cap_time_auto,mun_seat_cap_treat,mun_treat,mun_poly_runvarm,mun_poly_runvarkm,mun_poly_runvarm_abs,mun_poly_runvarkm_abs,mun_poly_uf
22,29256.48330786996,1,720395.9375,-2367979.25,721659.8461832445,-2338750.080487609,87.52399572752086,3530508,Mocóca,197246.2162236333,858960231.265625,721973.6620584631,-2388691.724434846,3530508,209,Mocóca,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,724781.9375,-2390924.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-29256.48330786996,-29.25648330786996,29256.48330786996,29.25648330786996,35
23,46538.49863759718,2,610164.0625,-2380850.5,611895.6991304304,-2334344.228487205,87.86760678783864,3503208,Araraquara,284804.7382325559,2076374145.75,603034.0261513493,-2413682.396880986,3503208,214,Araraquara,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,602174.1875,-2422263.25,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-46538.49863759718,-46.53849863759718,46538.49863759718,46.53849863759718,35
24,43826.46268340062,1,686340,-2381120.75,688157.4116104844,-2337331.986071595,87.62335639803068,3547601,Santa Rosa,79223.91700040067,288568989.6875,687264.6978570597,-2393240.552062938,3547601,215,Santa Rosa,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,687654.25,-2389864.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-43826.46268340062,-43.82646268340062,43826.46268340062,43.82646268340062,35
25,52296.64461751822,2,579344.375,-2385506.75,581134.3986240281,-2333240.749065584,88.03848150356561,3529302,Mattão,134257.2027953789,681665169.2734375,578401.1293698824,-2398467.335121414,3529302,219,Mattão,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,583282.0625,-2400298,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-52296.64461751822,-52.29664461751822,52296.64461751822,52.29664461751822,35
26,49170.59011952922,1,700494.75,-2387057.75,702585.7271632592,-2337931.639353975,87.56276457022543,3553302,Tambahú,125529.8962396889,566075369.9921875,699967.7343833392,-2404700.543250843,3553302,217,Tambahú,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,695715.0625,-2416098,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-49170.59011952922,-49.17059011952922,49170.59011952922,49.17059011952922,35
27,60562.59733013195,1,662923.6875,-2396912.5,665334.2305289608,-2336397.894509447,87.71888192387947,3547502,Santa Rita do Passa Quatro,144293.7482884595,758412929.1640625,671746.5851956723,-2412478.222000517,3547502,221,Santa Rita do Passa Quatro,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,674640.75,-2415784.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-60562.59733013195,-60.56259733013195,60562.59733013195,60.56259733013195,35
28,66245.26973490152,2,636347,-2401561.25,638905.5711953219,-2335365.4081692,87.78653174016588,3548906,São Carlos,216004.9261542977,1437470089.3125,630148.2602289165,-2437818.626776148,3548906,222,São Carlos,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,630610.4375,-2448200.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-66245.26973490152,-66.24526973490153,66245.26973490152,66.24526973490153,35
29,78361.26263244356,1,649307.9375,-2414187.25,652334.4610571197,-2335884.455436147,87.78653174016584,3513702,Descalvado,131553.1754572623,759730975.703125,655670.1485521373,-2433987.293208912,3513702,226,Descalvado,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,659133.875,-2436709.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-78361.26263244356,-78.36126263244356,78361.26263244356,78.36126263244356,35
30,82395.96508640729,1,695032.9375,-2420084.25,698449.7631901513,-2337759.160478496,87.62335639803068,3546306,Palmeiras,90902.91018248045,297053700.7109375,697546.895877747,-2432873.150779171,3546306,227,Palmeiras,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,697793.5,-2429784.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-82395.96508640729,-82.39596508640729,82395.96508640729,82.39596508640729,35
31,83930.59626058457,1,680150,-2421002.5,683630.4643308946,-2337144.099367156,87.62335639803069,3540705,Porto Ferreira,75793.0858659654,245942507.2265625,677300.6972840719,-2430478.846923942,3540705,228,Porto Ferreira,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,673852.0625,-2431755.75,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-83930.59626058457,-83.93059626058457,83930.59626058457,83.93059626058457,35
32,92563.73214702203,2,576338.5,-2425694.5,579506.7963311162,-2333185.006393431,88.03848150356565,3506706,Bôa Esperança,151299.834113487,756774627.1015625,572861.0023249836,-2437659.720305844,3506706,229,Bôa Esperança,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,579124.625,-2443444.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-92563.73214702203,-92.56373214702204,92563.73214702203,92.56373214702204,35
33,89984.59700690942,2,549070.5625,-2464523.75,545799.2832276016,-2554448.865681982,-92.08337661452278,3505203,Bariry,128004.2208147239,673099043.4609375,542540.9921982195,-2445916.34312336,3505203,233,Bariry,Placebo 8,0H,PC8,,,Placebo,542747.375,-2451264,20,23.8844348436625,16.67930146796112,-52.93746804194612,-21.93693975496641,,,,,,,,,,,,,,,,,,,,,,35
34,90995.29233521115,2,605008.375,-2465648.25,601426.820553552,-2556573.030422708,-92.25573180770375,3542909,Ribeirão Bonito,106021.7051980237,475158413.03125,600126.4339853148,-2451672.235670208,3542909,231,Ribeirão Bonito,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,600969.375,-2452515.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-90995.29233521115,-90.99529233521115,90995.29233521115,90.99529233521115,35
35,89373.54044764728,2,561964.6875,-2465615.5,558602.477233533,-2554925.775300613,-92.15596165295254,3506805,São João da Bocaina,91451.89662683725,364999012.453125,564381.011854669,-2455359.60941116,3506805,234,São João da Bocaina,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,565422.1875,-2458922.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-89373.54044764728,-89.37354044764727,89373.54044764728,89.37354044764727,35
36,75099.59893518059,3,515300.4063000008,-2484651.75,543251.1417472108,-2554356.16986119,-68.1497364635416,3506003,Baurú,136345.519693491,675500054.4677471,502351.7053174198,-2469798.017362871,3506003,236,Baurú,Placebo 8,0H,PC8,,,Placebo,508841.9375,-2476835,20,23.8844348436625,16.67930146796112,-52.93746804194612,-21.93693975496641,,,,,,,,,,,,,,,,,,,,,,35
37,84734.86686176313,1,647931.5625,-2473694,644294.4894787382,-2558350.773869069,-92.46006140573925,3502002,Annapolis,85481.46273587273,328319491.984375,652150.5068905529,-2460540.311408593,3502002,237,Annapolis,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,653606.5625,-2461268.25,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-84734.86686176313,-84.73486686176314,84734.86686176313,84.73486686176314,35
38,89433.249052792,2,586088.625,-2466466.25,582568.5522293631,-2555830.1975618,-92.25573180770377,3514304,Dourado,69123.24662128328,207919258.3984375,584615.1712160402,-2457497.614324717,3514304,238,Dourado,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,586248.3125,-2455669.25,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-89433.249052792,-89.43324905279201,89433.249052792,89.43324905279201,35
39,75873.07499076879,3,545831.9375,-2478527,543251.1417472108,-2554356.16986119,-91.94927163836989,3522901,Bica de Pedra,79282.50720573288,259310210.6484375,542184.1368763489,-2466682.918452035,3522901,245,Bica de Pedra,Placebo 8,0H,PC8,,,Placebo,544312.125,-2468986.25,20,23.8844348436625,16.67930146796112,-52.93746804194612,-21.93693975496641,,,,,,,,,,,,,,,,,,,,,,35
40,66907.35732823798,1,726073.5625,-2495098.75,722913.0716357031,-2561931.419871442,-92.70747799415535,3530706,Mogy-Guassú,170458.5970146857,890620704.5859375,719201.0548560495,-2475882.082899582,3530706,241,Mogy-Guassú,Sao Vicente 1,11A,SV1,Martim Afonso de Sousa,Rio Macae,Actual,726629.625,-2491910.5,28,28.17322864850599,13.332651159549,-45.50064604472522,-22.08680658892253,,,20/01/1535,06/10/1534,28/09/1532,06/10/1534,,1567,1565,100,825,125,2,3,2,0,0,-66907.35732823798,-66.90735732823798,66907.35732823798,66.90735732823798,35
